scene,final_train_loss,psnr
chair,0.009849451053887605,22.50932502746582
drums,0.02217054221779108,15.98336124420166
ficus,0.009281895097810775,20.912353515625
hotdog,0.008296243506483733,20.711200714111328
lego,0.016136907543987035,17.685335159301758
materials,0.012914519826881587,17.030075073242188
mic,0.018242027321830393,16.838104248046875
ship,0.015598383825272321,19.288875579833984
average,0.014061246299243067,18.869828820228577
